Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2734","Viande de Volailles","2015","2015","Milliers de tonnes","25","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2734","Viande de Volailles","2016","2016","Milliers de tonnes","24","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2734","Viande de Volailles","2017","2017","Milliers de tonnes","28","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2734","Viande de Volailles","2018","2018","Milliers de tonnes","29","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","28","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantit?","2734","Viande de Volailles","2015","2015","Milliers de tonnes","43","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantit?","2734","Viande de Volailles","2016","2016","Milliers de tonnes","37","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantit?","2734","Viande de Volailles","2017","2017","Milliers de tonnes","29","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantit?","2734","Viande de Volailles","2018","2018","Milliers de tonnes","25","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","44","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2734","Viande de Volailles","2015","2015","Milliers de tonnes","1","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2734","Viande de Volailles","2016","2016","Milliers de tonnes","-8","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2734","Viande de Volailles","2017","2017","Milliers de tonnes","-7","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2734","Viande de Volailles","2019","2019","Milliers de tonnes","5","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5911","Exportations - Quantit?","2734","Viande de Volailles","2015","2015","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5911","Exportations - Quantit?","2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2015","2015","Milliers de tonnes","66","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2016","2016","Milliers de tonnes","69","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","64","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2018","2018","Milliers de tonnes","53","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","67","S","Donn?es standardis?es"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5170","R?sidus","2734","Viande de Volailles","2015","2015","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5170","R?sidus","2734","Viande de Volailles","2016","2016","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5170","R?sidus","2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5170","R?sidus","2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5170","R?sidus","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2734","Viande de Volailles","2015","2015","Milliers de tonnes","66","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2734","Viande de Volailles","2016","2016","Milliers de tonnes","69","Im","Donn?es de la FAO bas?es sur une m?thodologie d'imputation"
