Code Domaine,Domaine,Code pays d?clarant (FAO),Pays d?clarants,Code pays partenaire (FAO),Pays partenaires,Code ?l?ment,?l?ment,Code Produit (FAO),Produit,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"TM","Matrices du commerce d?taill?es","68","France","2","Afghanistan","5910","Exportations - Quantit?","1058","Viande, volaille","2015","2015","tonnes","49","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","2","Afghanistan","5910","Exportations - Quantit?","1058","Viande, volaille","2016","2016","tonnes","121","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","2","Afghanistan","5910","Exportations - Quantit?","1058","Viande, volaille","2017","2017","tonnes","244","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","2","Afghanistan","5922","Exportations - Valeur","1058","Viande, volaille","2015","2015","1000 US$","69","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","2","Afghanistan","5922","Exportations - Valeur","1058","Viande, volaille","2016","2016","1000 US$","90","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","2","Afghanistan","5922","Exportations - Valeur","1058","Viande, volaille","2017","2017","1000 US$","250","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","202","Afrique du Sud","5610","Importations - Quantit?","1058","Viande, volaille","2016","2016","tonnes","52","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","202","Afrique du Sud","5622","Importations - Valeur","1058","Viande, volaille","2016","2016","1000 US$","49","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","202","Afrique du Sud","5910","Exportations - Quantit?","1058","Viande, volaille","2015","2015","tonnes","20271","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","202","Afrique du Sud","5910","Exportations - Quantit?","1058","Viande, volaille","2018","2018","tonnes","295","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","202","Afrique du Sud","5922","Exportations - Valeur","1058","Viande, volaille","2015","2015","1000 US$","23005","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","202","Afrique du Sud","5922","Exportations - Valeur","1058","Viande, volaille","2018","2018","1000 US$","237","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","3","Albanie","5910","Exportations - Quantit?","1058","Viande, volaille","2015","2015","tonnes","269","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","3","Albanie","5910","Exportations - Quantit?","1058","Viande, volaille","2016","2016","tonnes","180","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","3","Albanie","5910","Exportations - Quantit?","1058","Viande, volaille","2017","2017","tonnes","78","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","3","Albanie","5910","Exportations - Quantit?","1058","Viande, volaille","2018","2018","tonnes","99","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","3","Albanie","5910","Exportations - Quantit?","1058","Viande, volaille","2019","2019","tonnes","158","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","3","Albanie","5910","Exportations - Quantit?","1058","Viande, volaille","2020","2020","tonnes","277","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","3","Albanie","5922","Exportations - Valeur","1058","Viande, volaille","2015","2015","1000 US$","344","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","3","Albanie","5922","Exportations - Valeur","1058","Viande, volaille","2016","2016","1000 US$","239","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","3","Albanie","5922","Exportations - Valeur","1058","Viande, volaille","2017","2017","1000 US$","104","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","3","Albanie","5922","Exportations - Valeur","1058","Viande, volaille","2018","2018","1000 US$","142","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","3","Albanie","5922","Exportations - Valeur","1058","Viande, volaille","2019","2019","1000 US$","218","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","3","Albanie","5922","Exportations - Valeur","1058","Viande, volaille","2020","2020","1000 US$","338","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5610","Importations - Quantit?","1058","Viande, volaille","2015","2015","tonnes","40414","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5610","Importations - Quantit?","1058","Viande, volaille","2016","2016","tonnes","36241","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5610","Importations - Quantit?","1058","Viande, volaille","2017","2017","tonnes","34444","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5610","Importations - Quantit?","1058","Viande, volaille","2018","2018","tonnes","32509","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5610","Importations - Quantit?","1058","Viande, volaille","2019","2019","tonnes","36626","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5610","Importations - Quantit?","1058","Viande, volaille","2020","2020","tonnes","36095","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5622","Importations - Valeur","1058","Viande, volaille","2015","2015","1000 US$","124538","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5622","Importations - Valeur","1058","Viande, volaille","2016","2016","1000 US$","112634","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5622","Importations - Valeur","1058","Viande, volaille","2017","2017","1000 US$","112910","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5622","Importations - Valeur","1058","Viande, volaille","2018","2018","1000 US$","117528","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5622","Importations - Valeur","1058","Viande, volaille","2019","2019","1000 US$","124150","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5622","Importations - Valeur","1058","Viande, volaille","2020","2020","1000 US$","128802","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5910","Exportations - Quantit?","1058","Viande, volaille","2015","2015","tonnes","15006","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5910","Exportations - Quantit?","1058","Viande, volaille","2016","2016","tonnes","19508","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5910","Exportations - Quantit?","1058","Viande, volaille","2017","2017","tonnes","18920","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5910","Exportations - Quantit?","1058","Viande, volaille","2018","2018","tonnes","23538","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5910","Exportations - Quantit?","1058","Viande, volaille","2019","2019","tonnes","25964","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5910","Exportations - Quantit?","1058","Viande, volaille","2020","2020","tonnes","21100","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5922","Exportations - Valeur","1058","Viande, volaille","2015","2015","1000 US$","54956","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5922","Exportations - Valeur","1058","Viande, volaille","2016","2016","1000 US$","61988","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5922","Exportations - Valeur","1058","Viande, volaille","2017","2017","1000 US$","63571","","Donn?e officielle"
"TM","Matrices du commerce d?taill?es","68","France","79","Allemagne","5922","Exportations - Valeur","1058","Viande, volaille","2018","2018","1000 US$","80038","","Donn?e officielle"
