Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","2015.1","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2082.8","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1921.2","","Donnée officielle"
"PP","Prix à la Production","202","Afrique du Sud","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","1713.1","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","2180.7","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","2453","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","2102.1","","Donnée officielle"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2020","2020","7021","Valeur annuel","USD","1881.5","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2017","2017","7021","Valeur annuel","USD","1459.6","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2018","2018","7021","Valeur annuel","USD","1378.9","","Donnée officielle"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1058","Viande, volaille","2019","2019","7021","Valeur annuel","USD","1255.6","","Donnée officielle"
